,date,price,volume
0,1988-07-18,0.379464,103846400
1,1988-07-25,0.377232,575579200
2,1988-08-01,0.392857,439644800
3,1988-08-08,0.372768,531305600
4,1988-08-15,0.361607,709800000
5,1988-08-22,0.350446,627076800
6,1988-08-29,0.343750,778523200
7,1988-09-05,0.337054,764489600
8,1988-09-12,0.357143,795804800
9,1988-09-19,0.368304,533310400
10,1988-09-26,0.379464,533680000
11,1988-10-03,0.342634,890982400
12,1988-10-10,0.334821,981848000
13,1988-10-17,0.341518,810678400
14,1988-10-24,0.341518,637235200
15,1988-10-31,0.328125,991379200
16,1988-11-07,0.330357,734932800
17,1988-11-14,0.337054,450206400
18,1988-11-21,0.316964,606379200
19,1988-11-28,0.321429,945750400
20,1988-12-05,0.345982,461899200
21,1988-12-12,0.341518,729792000
22,1988-12-19,0.357143,897467200
23,1988-12-26,0.354911,311035200
24,1989-01-02,0.357143,845958400
25,1989-01-09,0.368304,682976000
26,1989-01-16,0.352679,1842848000
27,1989-01-23,0.323661,2927198400
28,1989-01-30,0.328125,2186811200
29,1989-02-06,0.330357,948057600
30,1989-02-13,0.314732,1829934400
31,1989-02-20,0.321429,676379200
32,1989-02-27,0.303571,1226176000
33,1989-03-06,0.305804,881652800
34,1989-03-13,0.303571,812470400
35,1989-03-20,0.301339,573406400
36,1989-03-27,0.299107,657910400
37,1989-04-03,0.302455,913628800
38,1989-04-10,0.328125,974456000
39,1989-04-17,0.339286,1421996800
40,1989-04-24,0.343750,656342400
41,1989-05-01,0.343750,1166614400
42,1989-05-08,0.370536,1555220800
43,1989-05-15,0.399554,1337056000
44,1989-05-22,0.404018,967355200
45,1989-05-29,0.419643,531115200
46,1989-06-05,0.412946,717225600
47,1989-06-12,0.388393,1266552000
48,1989-06-19,0.375000,708612800
49,1989-06-26,0.352679,944910400
50,1989-07-03,0.357143,447540800
51,1989-07-10,0.352679,1054502400
52,1989-07-17,0.345982,1222737600
53,1989-07-24,0.337054,851984000
54,1989-07-31,0.348214,709105600
55,1989-08-07,0.368304,952011200
56,1989-08-14,0.357143,624478400
57,1989-08-21,0.375000,747622400
58,1989-08-28,0.390625,505075200
59,1989-09-04,0.392857,371302400
60,1989-09-11,0.395089,587025600
61,1989-09-18,0.383929,535561600
62,1989-09-25,0.392857,452838400
63,1989-10-02,0.385045,1074057600
64,1989-10-09,0.401786,923395200
65,1989-10-16,0.379464,1192396800
66,1989-10-23,0.397321,756224000
67,1989-10-30,0.383929,867484800
68,1989-11-06,0.383929,570091200
69,1989-11-13,0.390625,435310400
70,1989-11-20,0.397321,374113600
71,1989-11-27,0.379464,603142400
72,1989-12-04,0.366071,985107200
73,1989-12-11,0.290179,2888110400
74,1989-12-18,0.301339,1225784000
75,1989-12-25,0.305804,695956800
76,1990-01-01,0.312500,736019200
77,1990-01-08,0.301339,770380800
78,1990-01-15,0.287946,1111712000
79,1990-01-22,0.287946,749067200
80,1990-01-29,0.286830,615865600
81,1990-02-05,0.287946,842833600
82,1990-02-12,0.299107,498321600
83,1990-02-19,0.290179,644291200
84,1990-02-26,0.294643,571692800
85,1990-03-05,0.299107,997024000
86,1990-03-12,0.323661,1179315200
87,1990-03-19,0.357143,1435492800
88,1990-03-26,0.357143,635846400
89,1990-04-02,0.352679,664641600
90,1990-04-09,0.352679,661763200
91,1990-04-16,0.354911,1356443200
92,1990-04-23,0.340402,823233600
93,1990-04-30,0.348214,771276800
94,1990-05-07,0.354911,739972800
95,1990-05-14,0.352679,875123200
96,1990-05-21,0.345982,1242539200
97,1990-05-28,0.350446,780348800
98,1990-06-04,0.334821,1210921600
99,1990-06-11,0.337054,746345600
100,1990-06-18,0.342634,915936000
101,1990-06-25,0.359375,921614400
102,1990-07-02,0.386161,551432000
103,1990-07-09,0.399554,1336484800
104,1990-07-16,0.357143,1382752000
105,1990-07-23,0.357143,711681600
106,1990-07-30,0.354911,767065600
107,1990-08-06,0.341518,679817600
108,1990-08-13,0.319196,716340800
109,1990-08-20,0.299107,575937600
110,1990-08-27,0.321429,570640000
111,1990-09-03,0.313616,292600000
112,1990-09-10,0.294643,565835200
113,1990-09-17,0.276786,639542400
114,1990-09-24,0.243304,708971200
115,1990-10-01,0.234375,1007865600
116,1990-10-08,0.227679,764646400
117,1990-10-15,0.216518,2064048000
118,1990-10-22,0.264509,849273600
119,1990-10-29,0.257813,609548800
120,1990-11-05,0.285714,969696000
121,1990-11-12,0.310268,822528000
122,1990-11-19,0.310268,553952000
