,date,price,volume
0,2012-07-23,22.280001,228860400
1,2012-07-30,19.820000,267091200
2,2012-08-06,20.219999,135504600
3,2012-08-13,19.000000,399001700
4,2012-08-20,18.750000,284155300
5,2012-08-27,18.030001,151657400
6,2012-09-03,17.549999,189842400
7,2012-09-10,18.549999,334751400
8,2012-09-17,21.370001,274677900
9,2012-09-24,19.799999,259372000
10,2012-10-01,20.879999,200025600
11,2012-10-08,19.450001,139347000
12,2012-10-15,18.799999,173091300
13,2012-10-22,19.049999,489096200
14,2012-10-29,20.730000,175436500
15,2012-11-05,19.129999,170816300
16,2012-11-12,18.870001,554915200
17,2012-11-19,22.700001,251059900
18,2012-11-26,24.809999,474640500
19,2012-12-03,26.680000,353125000
20,2012-12-10,26.760000,347095000
21,2012-12-17,26.120001,269775700
22,2012-12-24,25.150000,161462000
23,2012-12-31,26.110001,266076900
24,2013-01-07,28.650000,419355200
25,2013-01-14,29.270000,437356300
26,2013-01-21,29.740000,202351800
27,2013-01-28,28.740000,496942700
28,2013-02-04,28.010000,250935200
29,2013-02-11,27.100000,249749600
30,2013-02-18,26.820000,177487100
31,2013-02-25,26.340000,247676000
32,2013-03-04,27.209999,225294600
33,2013-03-11,26.559999,162075000
34,2013-03-18,25.559999,138706800
35,2013-03-25,24.719999,147039300
36,2013-04-01,25.280001,252181200
37,2013-04-08,26.420000,156582400
38,2013-04-15,25.150000,143521800
39,2013-04-22,25.700001,120777000
40,2013-04-29,26.860001,292777800
41,2013-05-06,26.570000,184157700
42,2013-05-13,25.900000,149260700
43,2013-05-20,24.080000,210369700
44,2013-05-27,23.260000,210975700
45,2013-06-03,22.670000,194274200
46,2013-06-10,23.260000,176591100
47,2013-06-17,23.650000,190763700
48,2013-06-24,23.379999,226702500
49,2013-07-01,24.150000,69610200
50,2013-07-08,24.420000,127489600
51,2013-07-15,25.600000,147916700
52,2013-07-22,25.719999,639870300
53,2013-07-29,34.009998,632255300
54,2013-08-05,37.700001,297633700
55,2013-08-12,36.020000,247326000
56,2013-08-19,37.139999,270095200
57,2013-08-26,39.419998,350814200
58,2013-09-02,41.439999,258927900
59,2013-09-09,43.110001,323500900
60,2013-09-16,42.430000,421156600
61,2013-09-23,46.290001,479403400
62,2013-09-30,49.060001,417535000
63,2013-10-07,45.259998,498784000
64,2013-10-14,47.910000,374408000
65,2013-10-21,51.130001,290506000
66,2013-10-28,46.500000,646530000
67,2013-11-04,47.250000,392954000
68,2013-11-11,45.730000,345921000
69,2013-11-18,45.720001,290876000
70,2013-11-25,43.549999,232527900
71,2013-12-02,46.259998,230543000
72,2013-12-09,47.740002,345675000
73,2013-12-16,52.910000,569450200
74,2013-12-23,55.250000,260481800
75,2013-12-30,53.430000,192824900
76,2014-01-06,54.049999,337445200
77,2014-01-13,55.380001,209568900
78,2014-01-20,54.400002,213174600
79,2014-01-27,51.849998,453084400
80,2014-02-03,60.700001,275328000
81,2014-02-10,63.349998,235230400
82,2014-02-17,65.730003,307758300
83,2014-02-24,67.379997,292457400
84,2014-03-03,66.510002,258358800
85,2014-03-10,67.459999,270938400
86,2014-03-17,66.180000,241443900
87,2014-03-24,57.980000,431687900
88,2014-03-31,56.320000,387652400
89,2014-04-07,55.439999,493979000
90,2014-04-14,55.880001,347762000
91,2014-04-21,57.570000,448174700
92,2014-04-28,54.660000,396026000
93,2014-05-05,56.259998,294380000
94,2014-05-12,57.310001,249276000
95,2014-05-19,57.570000,248451000
96,2014-05-26,61.570000,191430500
97,2014-06-02,62.049999,194521000
98,2014-06-09,61.790001,236346000
99,2014-06-16,63.349998,175042000
100,2014-06-23,64.220001,230378000
101,2014-06-30,65.760002,127444000
102,2014-07-07,62.209999,232737000
103,2014-07-14,66.040001,192935800
104,2014-07-21,68.500000,338457000
105,2014-07-28,71.550003,207429000
106,2014-08-04,71.790001,162092000
107,2014-08-11,72.220001,142329600
108,2014-08-18,73.570000,114569000
109,2014-08-25,73.730003,128238000
110,2014-09-01,74.820000,123520000
111,2014-09-08,76.199997,145869800
112,2014-09-15,73.070000,215816000
113,2014-09-22,75.949997,165860000
114,2014-09-29,75.639999,184848000
115,2014-10-06,72.760002,168655000
116,2014-10-13,70.320000,285636000
117,2014-10-20,75.379997,176119000
118,2014-10-27,72.900002,338315000
119,2014-11-03,73.650002,158123000
120,2014-11-10,73.540001,112752800
121,2014-11-17,72.510002,117048200
122,2014-11-24,73.349998,103041300
123,2014-12-01,74.400002,103922900
124,2014-12-08,74.779999,144856700
125,2014-12-15,74.589996,167712100
126,2014-12-22,80.000000,69594500
127,2014-12-29,77.699997,66618400
128,2015-01-05,75.360001,121014800
129,2015-01-12,73.540001,126213900
130,2015-01-19,74.820000,84184300
131,2015-01-26,74.209999,196620200
132,2015-02-02,73.750000,125464000
133,2015-02-09,73.449997,88739900
134,2015-02-16,75.080002,130463700
135,2015-02-23,78.099998,130481100
136,2015-03-02,78.519997,120738500
137,2015-03-09,77.260002,96858500
138,2015-03-16,77.360001,164953600
139,2015-03-23,82.139999,148537300
140,2015-03-30,80.870003,85984300
141,2015-04-06,80.800003,83953600
142,2015-04-13,80.370003,106892900
143,2015-04-20,81.239998,204905200
144,2015-04-27,78.110001,128787000
145,2015-05-04,77.050003,105359300
146,2015-05-11,76.790001,138179600
147,2015-05-18,79.459999,95596600
148,2015-05-25,78.879997,58598800
149,2015-06-01,78.660004,105824300
150,2015-06-08,79.320000,85018900
151,2015-06-15,80.070000,100984900
152,2015-06-22,83.309998,186937800
153,2015-06-29,85.570000,101143200
154,2015-07-06,85.230003,128648400
155,2015-07-13,88.419998,163296800
156,2015-07-20,94.809998,185477000
157,2015-07-27,91.800003,271190000
158,2015-08-03,92.800003,144762700
159,2015-08-10,91.190002,104547200
160,2015-08-17,85.610001,171220500
161,2015-08-24,72.000000,256503500
162,2015-08-31,86.500000,150515500
163,2015-09-07,88.830002,107186000
164,2015-09-14,91.599998,145450300
165,2015-09-21,91.919998,145447900
166,2015-09-28,85.720001,186816200
167,2015-10-05,90.470001,120898000
168,2015-10-12,92.669998,110153700
169,2015-10-19,96.470001,145731300
170,2015-10-26,101.550003,127642000
171,2015-11-02,101.180000,187032700
172,2015-11-09,103.830002,127675400
173,2015-11-16,100.470001,147603100
174,2015-11-23,104.389999,64538400
175,2015-11-30,103.349998,112055400
176,2015-12-07,101.910004,103276000
177,2015-12-14,101.459999,126762800
178,2015-12-21,103.599998,56837400
179,2015-12-28,104.529999,61755700
180,2016-01-04,97.029999,166842000
181,2016-01-11,92.449997,186529800
182,2016-01-18,89.370003,151064000
183,2016-01-25,94.230003,288273300
184,2016-02-01,103.180000,278615500
185,2016-02-08,96.820000,258965500
186,2016-02-15,100.239998,151758600
187,2016-02-22,102.739998,152033900
188,2016-02-29,106.750000,131558500
189,2016-03-07,104.400002,123098600
190,2016-03-14,108.769997,120110800
191,2016-03-21,111.029999,73850200
192,2016-03-28,112.949997,130380300
193,2016-04-04,109.900002,161477200
194,2016-04-11,106.519997,203633900
195,2016-04-18,109.010002,131739000
196,2016-04-25,106.309998,220003200
197,2016-05-02,116.570000,124113400
198,2016-05-09,118.900002,106556300
199,2016-05-16,115.879997,113707600
200,2016-05-23,115.940002,92619300
201,2016-05-30,117.820000,65940500
202,2016-06-06,116.260002,76723300
203,2016-06-13,112.559998,113036700
204,2016-06-20,111.000000,111618000
205,2016-06-27,108.230003,122085200
206,2016-07-04,112.970001,73317400
207,2016-07-11,116.580002,80362700
208,2016-07-18,116.889999,98680300
209,2016-07-25,117.779999,202768200
210,2016-08-01,122.070000,108750600
211,2016-08-08,124.180000,69413500
212,2016-08-15,122.779999,71400800
213,2016-08-22,123.089996,68175200
214,2016-08-29,124.349998,73585700
215,2016-09-05,126.470001,97046500
216,2016-09-12,125.750000,94156500
217,2016-09-19,127.300003,83975500
218,2016-09-26,126.800003,75684700
219,2016-10-03,127.550003,64338300
220,2016-10-10,126.750000,74234200
221,2016-10-17,127.320000,73864300
222,2016-10-24,129.270004,85178600
223,2016-10-31,119.250000,171699500
224,2016-11-07,115.269997,175072500
225,2016-11-14,113.550003,159933400
226,2016-11-21,117.800003,85835300
227,2016-11-28,114.000000,135528600
228,2016-12-05,115.070000,101153900
229,2016-12-12,117.610001,118950500
230,2016-12-19,116.300003,67518700
231,2016-12-26,114.769997,52757900
232,2017-01-02,115.510002,88332300
233,2017-01-09,123.040001,102099700
234,2017-01-16,126.779999,59733100
235,2017-01-23,126.949997,90047200
236,2017-01-30,129.520004,168057700
237,2017-02-06,130.300003,85578000
238,2017-02-13,132.550003,66225200
239,2017-02-20,132.899994,73167400
240,2017-02-27,134.750000,70131200
241,2017-03-06,136.509995,68309200
242,2017-03-13,138.490005,77450000
