,date,price,volume
0,2006-07-24,189.164169,58149393
1,2006-07-31,181.861862,57099843
2,2006-08-07,184.184189,44014941
3,2006-08-14,184.519516,55049097
4,2006-08-21,186.316315,35522242
5,2006-08-28,187.687683,36565797
6,2006-09-04,188.548553,29418152
7,2006-09-11,189.074081,65821914
8,2006-09-18,196.566574,91686422
9,2006-09-25,200.470474,50592756
10,2006-10-02,199.294296,57751590
11,2006-10-09,211.406403,62884652
12,2006-10-16,208.558563,77320801
13,2006-10-23,230.415421,93082625
14,2006-10-30,232.762756,56781562
15,2006-11-06,234.534531,51007942
16,2006-11-13,237.307312,61018121
17,2006-11-20,246.571579,39531230
18,2006-11-27,238.753754,65227707
19,2006-12-04,239.914917,44140614
20,2006-12-11,238.748749,44048307
21,2006-12-18,226.396393,59766173
22,2006-12-25,227.522522,23938438
23,2007-01-01,230.785782,44887468
24,2007-01-08,240.840836,55516828
25,2007-01-15,243.613617,50306243
26,2007-01-22,238.883881,55932211
27,2007-01-29,239.144150,86128786
28,2007-02-05,230.980988,51116632
29,2007-02-12,227.737732,51419129
30,2007-02-19,232.587585,38630731
31,2007-02-26,219.559555,73094432
32,2007-03-05,218.718719,61465274
33,2007-03-12,219.719727,54870874
34,2007-03-19,220.535538,48370581
35,2007-03-26,227.727722,40782777
36,2007-04-02,226.286285,32856909
37,2007-04-09,231.351349,30681487
38,2007-04-16,234.309311,74184941
39,2007-04-23,238.013016,40732627
40,2007-04-30,232.317322,35776789
41,2007-05-07,230.730728,32858109
42,2007-05-14,228.933929,45758996
43,2007-05-21,233.593597,49112039
44,2007-05-28,241.741745,52321825
45,2007-06-04,249.044037,84762154
46,2007-06-11,249.594589,57735208
47,2007-06-18,252.372375,50235315
48,2007-06-25,259.989990,55517627
49,2007-07-02,262.362366,26072501
50,2007-07-09,270.275269,39108452
51,2007-07-16,255.005005,91723385
52,2007-07-23,249.689697,59672868
53,2007-07-30,251.751755,37948214
54,2007-08-06,251.501495,45367187
55,2007-08-13,240.470474,52642305
56,2007-08-20,248.248245,30189781
57,2007-08-27,253.148148,27527645
58,2007-09-03,257.567566,28563608
59,2007-09-10,255.695694,27115657
60,2007-09-17,262.297302,50902647
61,2007-09-24,280.280273,32106861
62,2007-10-01,285.090088,47379973
63,2007-10-08,297.272278,75532592
64,2007-10-15,306.301300,94061444
65,2007-10-22,318.458466,59963377
66,2007-10-29,336.381378,58366375
67,2007-11-05,330.935944,106880613
68,2007-11-12,308.318329,85470244
69,2007-11-19,309.559570,50190160
70,2007-11-26,325.455444,75353771
71,2007-12-03,338.898895,43012145
72,2007-12-10,340.945953,49687663
73,2007-12-17,326.576569,53702245
74,2007-12-24,346.876892,19307873
75,2007-12-31,327.827820,30560209
76,2008-01-07,311.566559,59527214
77,2008-01-14,299.304291,74589536
78,2008-01-21,259.759766,85582532
79,2008-01-28,255.255249,104917178
80,2008-02-04,244.504501,93415690
81,2008-02-11,256.771759,61597941
82,2008-02-18,249.024017,48364187
83,2008-02-25,223.648651,115473010
84,2008-03-03,213.333328,88221091
85,2008-03-10,206.726730,75459265
86,2008-03-17,206.261261,62373165
87,2008-03-24,217.372375,56002343
88,2008-03-31,216.221222,58369772
89,2008-04-07,227.732727,51509839
90,2008-04-14,220.720718,95183722
91,2008-04-21,265.410400,57141202
92,2008-04-28,269.769775,59658681
93,2008-05-05,285.935944,54207937
94,2008-05-12,284.739746,45993960
95,2008-05-19,269.174164,49738212
96,2008-05-26,272.197205,31940228
97,2008-06-02,280.585571,39947813
98,2008-06-09,272.502502,48820330
99,2008-06-16,272.527527,44062094
100,2008-06-23,257.802795,47028325
101,2008-06-30,258.758759,30666702
102,2008-07-07,259.974976,45264091
103,2008-07-14,239.334335,70564964
104,2008-07-21,233.033035,44378577
105,2008-07-28,231.481476,30622347
106,2008-08-04,231.181183,31888878
107,2008-08-11,246.136139,34135431
108,2008-08-18,239.874878,32315253
109,2008-08-25,231.396393,33141826
110,2008-09-01,220.260254,39578182
111,2008-09-08,203.393387,69877452
112,2008-09-15,205.455460,82478239
113,2008-09-22,210.725723,48284267
114,2008-09-29,190.545547,68055475
115,2008-10-06,155.305298,105442851
116,2008-10-13,154.874878,107693399
117,2008-10-20,162.532532,65800733
118,2008-10-27,162.962967,78870850
119,2008-11-03,162.827835,66946985
120,2008-11-10,140.140137,101957142
121,2008-11-17,123.773773,87409303
122,2008-11-24,124.629631,59436505
123,2008-12-01,131.421417,57669274
124,2008-12-08,141.141144,64280655
125,2008-12-15,152.707703,59866674
126,2008-12-22,145.460464,23128649
127,2008-12-29,145.935944,28057314
128,2009-01-05,156.856857,47452301
129,2009-01-12,143.538544,48678472
130,2009-01-19,141.516510,57887055
131,2009-01-26,160.440445,58312029
132,2009-02-02,166.166168,65700833
133,2009-02-09,175.915909,53965181
134,2009-02-16,167.667664,45775579
135,2009-02-23,164.939941,57505837
136,2009-03-02,147.272278,67723808
137,2009-03-09,144.869873,56055089
138,2009-03-16,159.454453,46994159
139,2009-03-23,166.681686,43464291
140,2009-03-30,168.193192,36620143
141,2009-04-06,177.832840,26190184
142,2009-04-13,182.262268,64585950
143,2009-04-20,188.133133,35205758
144,2009-04-27,190.960968,31223946
145,2009-05-04,196.446442,30172996
146,2009-05-11,192.537537,30246922
147,2009-05-18,192.892899,25797377
148,2009-05-25,195.195190,22888688
149,2009-06-01,209.474472,33561804
150,2009-06-08,210.815811,30961208
151,2009-06-15,205.985992,35206759
152,2009-06-22,201.146149,31534434
153,2009-06-29,203.608612,19164016
154,2009-07-06,198.188187,30300270
155,2009-07-13,207.797791,48205946
156,2009-07-20,211.961960,31595374
157,2009-07-27,216.161163,26139634
158,2009-08-03,224.044037,23928247
159,2009-08-10,226.416412,18913468
160,2009-08-17,219.499496,29541829
161,2009-08-24,230.595596,21084294
162,2009-08-31,226.521515,18986994
163,2009-09-07,228.148148,18560621
164,2009-09-14,235.260254,29421949
165,2009-09-21,243.353348,24853123
166,2009-09-28,241.541534,24963412
167,2009-10-05,241.911911,33552414
168,2009-10-12,259.919922,49071479
169,2009-10-19,270.620636,31291478
170,2009-10-26,267.387390,29462108
171,2009-11-02,264.384369,23155623
172,2009-11-09,277.392395,21485492
173,2009-11-16,284.984985,19659722
174,2009-11-23,285.770782,13983004
175,2009-11-30,288.843842,19282499
176,2009-12-07,290.790802,16642341
177,2009-12-14,295.790802,26320652
178,2009-12-21,298.133148,14752034
179,2009-12-28,309.314301,11604583
180,2010-01-04,294.849854,40116244
181,2010-01-11,287.237244,56418325
182,2010-01-18,267.697693,41309650
183,2010-01-25,263.068054,40178581
184,2010-02-01,261.491486,31727841
185,2010-02-08,264.109100,25730444
186,2010-02-15,267.417419,21127052
187,2010-02-22,260.260254,25379196
188,2010-03-01,264.134125,33526639
189,2010-03-08,278.528534,36372790
190,2010-03-15,278.278290,35920844
191,2010-03-22,270.120117,45351403
192,2010-03-29,280.420410,20411368
193,2010-04-05,280.305298,21072307
194,2010-04-12,275.090088,57272070
195,2010-04-19,271.406403,29236734
196,2010-04-26,260.775787,34193572
197,2010-05-03,230.230225,45165589
198,2010-05-10,248.373367,37450911
199,2010-05-17,232.432434,47290861
200,2010-05-24,232.237244,33051915
201,2010-05-31,240.300293,25531642
202,2010-06-07,236.236237,26785988
203,2010-06-14,241.331329,26852120
204,2010-06-21,235.515518,22719459
205,2010-06-28,217.032028,28605766
206,2010-07-05,217.032028,25355020
207,2010-07-12,229.989990,46177176
208,2010-07-19,228.988983,32560407
209,2010-07-26,239.809814,23500477
210,2010-08-02,243.623627,26400373
211,2010-08-09,241.496490,20596384
212,2010-08-16,230.740738,27421951
213,2010-08-23,224.049042,24835940
214,2010-08-30,224.224228,21240937
215,2010-09-06,231.741745,17016166
216,2010-09-13,239.489487,28914856
217,2010-09-20,246.276276,34128237
218,2010-09-27,259.484497,28777994
219,2010-10-04,259.684692,26902870
220,2010-10-11,268.823822,61727011
221,2010-10-18,300.575562,40734825
222,2010-10-25,305.820831,24726847
223,2010-11-01,305.910919,27575797
224,2010-11-08,300.905914,24955220
225,2010-11-15,290.975983,28204367
226,2010-11-22,289.389374,16097287
227,2010-11-29,276.931946,37782780
228,2010-12-06,288.593597,20912067
229,2010-12-13,294.129120,21765213
230,2010-12-20,294.624634,12329857
231,2010-12-27,296.311310,11630158
232,2011-01-03,298.538544,21740238
233,2011-01-10,304.584595,16684899
234,2011-01-17,305.985992,42783773
235,2011-01-24,300.180176,33035732
236,2011-01-31,298.073059,20692886
237,2011-02-07,304.909912,20502077
238,2011-02-14,310.330322,21180198
239,2011-02-21,300.975983,22324853
240,2011-02-28,297.892883,25150225
241,2011-03-07,286.951965,28089283
242,2011-03-14,275.915924,33602564
243,2011-03-21,284.794800,23338838
244,2011-03-28,286.791779,19756423
245,2011-04-04,283.123108,30376792
246,2011-04-11,265.295288,50975374
247,2011-04-18,259.759766,26481492
248,2011-04-25,261.266266,27288084
249,2011-05-02,265.080078,20751428
250,2011-05-09,264.789795,19755025
251,2011-05-16,257.772766,25976399
252,2011-05-23,256.956970,18713068
253,2011-05-30,261.011017,19173207
254,2011-06-06,254.899902,19244936
255,2011-06-13,242.642639,29659310
256,2011-06-20,236.746750,33583184
257,2011-06-27,237.037033,29106665
258,2011-07-04,262.912903,30470500
259,2011-07-11,263.013000,57646896
260,2011-07-18,296.296295,33289277
261,2011-07-25,301.801788,33276090
262,2011-08-01,281.281281,43628529
263,2011-08-08,270.775787,54586959
264,2011-08-15,245.675674,59668472
265,2011-08-22,247.512512,39433526
266,2011-08-29,260.625641,25643930
267,2011-09-05,255.505508,22219557
268,2011-09-12,259.009003,28399771
269,2011-09-19,257.257263,29848920
270,2011-09-26,256.881897,27050123
271,2011-10-03,240.540543,38856104
272,2011-10-10,261.861847,45096658
273,2011-10-17,288.988983,34985979
274,2011-10-24,286.716705,30227342
275,2011-10-31,288.663666,26590182
276,2011-11-07,296.076080,33852513
277,2011-11-14,297.172180,30477892
278,2011-11-21,280.945953,18571009
279,2011-11-28,288.538544,31496472
