,date,price,volume
0,2000-07-24,108.875000,28454700
1,2000-07-31,110.062500,24015800
2,2000-08-07,115.562500,29859300
3,2000-08-14,119.312500,23739400
4,2000-08-21,119.875000,24522100
5,2000-08-28,129.562500,30751200
6,2000-09-04,129.375000,20201600
7,2000-09-11,122.750000,28000200
8,2000-09-18,120.000000,22129500
9,2000-09-25,110.250000,31360800
10,2000-10-02,108.562500,43940700
11,2000-10-09,103.125000,38085500
12,2000-10-16,90.250000,73706800
13,2000-10-23,86.937500,48790400
14,2000-10-30,90.312500,39746400
15,2000-11-06,93.000000,32715700
16,2000-11-13,91.625000,29453200
17,2000-11-20,98.312500,22641900
18,2000-11-27,92.250000,32366400
19,2000-12-04,93.125000,37530500
20,2000-12-11,87.312500,41477400
21,2000-12-18,80.062500,50218000
22,2000-12-25,82.125000,31039700
23,2001-01-01,83.750000,44240800
24,2001-01-08,91.250000,37351000
25,2001-01-15,91.812500,55406000
26,2001-01-22,107.625000,40283600
27,2001-01-29,109.599998,32690400
28,2001-02-05,109.300003,36346600
29,2001-02-12,110.300003,36127100
30,2001-02-19,100.250000,42890800
31,2001-02-26,97.500000,59912700
32,2001-03-05,97.900002,46134500
33,2001-03-12,88.199997,69318700
34,2001-03-19,87.650002,56911400
35,2001-03-26,93.750000,52337900
36,2001-04-02,90.050003,61562900
37,2001-04-09,93.800003,40874500
38,2001-04-16,95.199997,77541600
39,2001-04-23,111.680000,38874700
40,2001-04-30,111.199997,40113600
41,2001-05-07,110.959999,37758700
42,2001-05-14,111.000000,32527500
43,2001-05-21,117.099998,34172800
44,2001-05-28,111.639999,27279700
45,2001-06-04,112.849998,29113600
46,2001-06-11,113.379997,39520000
47,2001-06-18,111.360001,33926900
48,2001-06-25,111.099998,35230300
49,2001-07-02,105.809998,25362500
50,2001-07-09,101.559998,45082800
51,2001-07-16,103.029999,48299000
52,2001-07-23,102.730003,32638300
53,2001-07-30,104.760002,25049100
54,2001-08-06,102.699997,26622100
55,2001-08-13,103.660004,29688900
56,2001-08-20,101.400002,33343800
57,2001-08-27,98.860001,38331400
58,2001-09-03,96.000000,41322600
59,2001-09-10,95.589996,10311500
60,2001-09-17,89.500000,75868900
