,date,price,volume
0,1986-07-21,0.103299,65894400
1,1986-07-28,0.096354,80812800
2,1986-08-04,0.094618,41385600
3,1986-08-11,0.098090,51062400
4,1986-08-18,0.100694,109238400
5,1986-08-25,0.097222,51667200
6,1986-09-01,0.091146,89308800
7,1986-09-08,0.098090,118137600
8,1986-09-15,0.096354,43574400
9,1986-09-22,0.099826,22723200
10,1986-09-29,0.095486,81244800
11,1986-10-06,0.100694,434044800
12,1986-10-13,0.114583,249840000
13,1986-10-20,0.122396,382320000
14,1986-10-27,0.131076,429638400
15,1986-11-03,0.135417,258595200
16,1986-11-10,0.143229,123667200
17,1986-11-17,0.140625,321955200
18,1986-11-24,0.157118,349747200
19,1986-12-01,0.167535,254246400
20,1986-12-08,0.164063,103276800
21,1986-12-15,0.157118,220694400
22,1986-12-22,0.168403,52848000
23,1986-12-29,0.162326,103104000
24,1987-01-05,0.164931,274723200
25,1987-01-12,0.199653,457027200
26,1987-01-19,0.210069,726422400
27,1987-01-26,0.228299,490780800
28,1987-02-02,0.237847,226252800
29,1987-02-09,0.231771,508550400
30,1987-02-16,0.232639,604972800
31,1987-02-23,0.230903,494496000
32,1987-03-02,0.255208,450547200
33,1987-03-09,0.281250,332697600
34,1987-03-16,0.276910,363427200
35,1987-03-23,0.303819,325180800
36,1987-03-30,0.307292,886464000
37,1987-04-06,0.326389,393840000
38,1987-04-13,0.315972,421689600
39,1987-04-20,0.325521,390672000
40,1987-04-27,0.337674,375235200
41,1987-05-04,0.362847,738777600
42,1987-05-11,0.406250,493516800
43,1987-05-18,0.372396,637228800
44,1987-05-25,0.375000,284688000
45,1987-06-01,0.371528,183168000
46,1987-06-08,0.337674,778521600
47,1987-06-15,0.334201,366825600
48,1987-06-22,0.348958,336873600
49,1987-06-29,0.342882,142790400
50,1987-07-06,0.307292,624556800
51,1987-07-13,0.333333,422150400
52,1987-07-20,0.326389,338169600
53,1987-07-27,0.319444,349833600
54,1987-08-03,0.316840,786182400
55,1987-08-10,0.347222,298828800
56,1987-08-17,0.348958,280540800
57,1987-08-24,0.366319,585043200
58,1987-08-31,0.388021,375868800
59,1987-09-07,0.375868,256262400
60,1987-09-14,0.394965,292320000
61,1987-09-21,0.368056,476150400
62,1987-09-28,0.428819,497505600
63,1987-10-05,0.482639,703828800
64,1987-10-12,0.446181,667281600
65,1987-10-19,0.298611,1068926400
66,1987-10-26,0.258681,868320000
67,1987-11-02,0.303819,453052800
68,1987-11-09,0.315972,390038400
69,1987-11-16,0.310764,375595200
70,1987-11-23,0.312500,167342400
71,1987-11-30,0.277778,555638400
72,1987-12-07,0.293403,500601600
73,1987-12-14,0.331597,459374400
74,1987-12-21,0.347222,166320000
75,1987-12-28,0.347222,262425600
76,1988-01-04,0.378472,623664000
77,1988-01-11,0.376736,540979200
78,1988-01-18,0.364583,486662400
79,1988-01-25,0.376736,315489600
80,1988-02-01,0.345486,394099200
81,1988-02-08,0.352431,349502400
82,1988-02-15,0.378472,305971200
83,1988-02-22,0.397569,315000000
84,1988-02-29,0.402778,302544000
85,1988-03-07,0.421875,438883200
86,1988-03-14,0.404514,439819200
87,1988-03-21,0.387153,672926400
88,1988-03-28,0.376736,298828800
89,1988-04-04,0.378472,297676800
90,1988-04-11,0.366319,359308800
91,1988-04-18,0.373264,287136000
92,1988-04-25,0.376736,210974400
93,1988-05-02,0.371528,256017600
94,1988-05-09,0.381944,185428800
95,1988-05-16,0.387153,311846400
96,1988-05-23,0.378472,235670400
97,1988-05-30,0.383681,237902400
98,1988-06-06,0.411458,344476800
99,1988-06-13,0.432292,258350400
100,1988-06-20,0.430556,264787200
101,1988-06-27,0.442708,180072000
102,1988-07-04,0.465278,245995200
103,1988-07-11,0.449653,279619200
104,1988-07-18,0.420139,365414400
105,1988-07-25,0.394097,467136000
106,1988-08-01,0.359375,464385600
107,1988-08-08,0.347222,581688000
108,1988-08-15,0.347222,290476800
109,1988-08-22,0.331597,398160000
110,1988-08-29,0.333333,325598400
111,1988-09-05,0.352431,320198400
112,1988-09-12,0.359375,284702400
113,1988-09-19,0.354167,209160000
114,1988-09-26,0.357639,204811200
115,1988-10-03,0.332465,379123200
116,1988-10-10,0.331597,449078400
117,1988-10-17,0.355903,241142400
118,1988-10-24,0.331597,421473600
119,1988-10-31,0.320313,541310400
120,1988-11-07,0.319444,370137600
