,date,price,volume
0,2013-11-04,40.689999,145626900
1,2013-11-11,39.400002,50228900
2,2013-11-18,40.000000,40524400
3,2013-11-25,38.799999,33805000
4,2013-12-02,40.400002,41169600
5,2013-12-09,45.020000,132216600
6,2013-12-16,54.230000,117445700
7,2013-12-23,59.700001,201146300
8,2013-12-30,58.570000,145806500
9,2014-01-06,55.590000,139723300
10,2014-01-13,57.290001,102273900
11,2014-01-20,60.880001,48898100
12,2014-01-27,56.099998,70392600
13,2014-02-03,49.990002,159473500
14,2014-02-10,52.340000,87582600
15,2014-02-17,54.619999,56303400
16,2014-02-24,54.130001,44530600
17,2014-03-03,52.900002,38297800
18,2014-03-10,51.799999,40582500
19,2014-03-17,49.509998,48341600
20,2014-03-24,43.310001,61749100
21,2014-03-31,42.369999,45622100
22,2014-04-07,39.680000,61618800
23,2014-04-14,40.119999,60923300
24,2014-04-21,41.310001,45982400
25,2014-04-28,37.240002,109373800
26,2014-05-05,29.510000,297163100
27,2014-05-12,32.020000,122840800
28,2014-05-19,30.450001,111110100
29,2014-05-26,30.379999,180125200
30,2014-06-02,31.620001,140265300
31,2014-06-09,33.090000,177266700
32,2014-06-16,36.439999,150067700
33,2014-06-23,38.009998,166128300
34,2014-06-30,40.349998,98939400
35,2014-07-07,36.110001,145879300
36,2014-07-14,35.950001,113089800
37,2014-07-21,36.849998,87830300
38,2014-07-28,37.560001,282680600
39,2014-08-04,42.509998,109541400
40,2014-08-11,42.709999,105599000
41,2014-08-18,44.759998,67171100
42,2014-08-25,45.700001,138430500
43,2014-09-01,49.049999,107342900
44,2014-09-08,50.220001,154897700
45,2014-09-15,47.560001,148670700
46,2014-09-22,51.020000,94587800
47,2014-09-29,49.150002,110737200
48,2014-10-06,50.299999,153682900
49,2014-10-13,46.380001,154871300
50,2014-10-20,48.799999,100415000
51,2014-10-27,39.939999,241579900
52,2014-11-03,39.700001,105579400
53,2014-11-10,38.810001,190407200
54,2014-11-17,39.209999,84104000
55,2014-11-24,39.560001,66228300
56,2014-12-01,38.330002,77485500
57,2014-12-08,34.619999,98082900
58,2014-12-15,34.950001,89775200
59,2014-12-22,37.310001,50515200
60,2014-12-29,35.459999,62751900
61,2015-01-05,35.639999,114718000
62,2015-01-12,36.849998,100097300
63,2015-01-19,36.540001,66713900
64,2015-01-26,36.070000,87430900
65,2015-02-02,36.919998,230378400
66,2015-02-09,45.570000,137093900
67,2015-02-16,47.360001,71082300
68,2015-02-23,47.959999,72623700
69,2015-03-02,46.410000,69522200
70,2015-03-09,45.130001,68772500
71,2015-03-16,46.049999,71353500
72,2015-03-23,47.869999,125504400
73,2015-03-30,48.660000,81986900
74,2015-04-06,49.869999,105138300
75,2015-04-13,50.189999,68720400
76,2015-04-20,50.240002,57332600
77,2015-04-27,37.369999,306254100
78,2015-05-04,36.520000,114990000
79,2015-05-11,37.000000,69256400
80,2015-05-18,36.389999,88893300
81,2015-05-25,36.099998,62293300
82,2015-06-01,36.160000,72777300
83,2015-06-08,35.549999,119897800
84,2015-06-15,33.509998,163188700
85,2015-06-22,34.669998,88513600
86,2015-06-29,34.150002,92538400
87,2015-07-06,34.310001,65789900
88,2015-07-13,34.750000,109723700
89,2015-07-20,35.209999,57606800
90,2015-07-27,30.850000,222846700
91,2015-08-03,26.870001,135765500
92,2015-08-10,27.820000,120608100
93,2015-08-17,25.510000,88175100
94,2015-08-24,21.010000,105520900
95,2015-08-31,26.770000,101204600
96,2015-09-07,26.420000,58645800
97,2015-09-14,26.799999,65644600
98,2015-09-21,25.139999,70764700
99,2015-09-28,24.340000,110835200
100,2015-10-05,26.330000,160653500
101,2015-10-12,28.379999,164360000
102,2015-10-19,28.650000,107421200
103,2015-10-26,27.760000,205880700
104,2015-11-02,28.049999,83160100
105,2015-11-09,25.160000,81867600
106,2015-11-16,24.900000,64565000
107,2015-11-23,25.020000,45844800
108,2015-11-30,24.910000,85237400
109,2015-12-07,23.540001,106562800
110,2015-12-14,22.660000,106223700
111,2015-12-21,21.990000,57684900
112,2015-12-28,22.150000,59760700
113,2016-01-04,19.600000,89028400
114,2016-01-11,17.270000,133536500
115,2016-01-18,15.480000,135444500
116,2016-01-25,16.400000,106351700
117,2016-02-01,15.550000,148564400
118,2016-02-08,13.910000,167235100
119,2016-02-15,15.670000,101714100
120,2016-02-22,17.110001,116192400
121,2016-02-29,17.590000,107303500
122,2016-03-07,16.379999,112410800
123,2016-03-14,16.129999,99246800
124,2016-03-21,15.570000,55037600
125,2016-03-28,15.330000,90452900
126,2016-04-04,15.960000,145144900
127,2016-04-11,16.150000,84368200
128,2016-04-18,16.680000,88372800
129,2016-04-25,14.320000,210197200
130,2016-05-02,13.900000,144222100
131,2016-05-09,14.000000,72443300
132,2016-05-16,14.040000,75829200
133,2016-05-23,13.730000,121835600
134,2016-05-30,14.620000,71229200
135,2016-06-06,14.000000,77768400
136,2016-06-13,14.510000,189964600
137,2016-06-20,16.049999,108687300
138,2016-06-27,15.460000,95270600
139,2016-07-04,16.760000,69760600
140,2016-07-11,17.500000,102746500
141,2016-07-18,17.760000,105591100
142,2016-07-25,15.690000,206279600
143,2016-08-01,16.200001,154206700
144,2016-08-08,17.930000,122821900
145,2016-08-15,18.760000,169755900
146,2016-08-22,18.100000,72878100
147,2016-08-29,18.299999,114195900
148,2016-09-05,17.920000,126856600
149,2016-09-12,17.520000,105118000
150,2016-09-19,18.129999,264267900
151,2016-09-26,21.650000,249291700
152,2016-10-03,19.600000,271567100
153,2016-10-10,16.280001,270942900
154,2016-10-17,16.430000,135300700
155,2016-10-24,17.070000,202671800
156,2016-10-31,17.260000,110991400
157,2016-11-07,17.770000,126626800
158,2016-11-14,18.500000,86431500
159,2016-11-21,18.030001,48617600
160,2016-11-28,17.740000,85258000
161,2016-12-05,17.870001,93997700
162,2016-12-12,18.530001,70413100
163,2016-12-19,16.160000,109590400
164,2016-12-26,16.219999,55262100
165,2017-01-02,16.209999,58748700
166,2017-01-09,16.959999,57149400
167,2017-01-16,16.459999,53446600
168,2017-01-23,16.330000,57451500
169,2017-01-30,16.410000,99212100
170,2017-02-06,15.500000,259841100
171,2017-02-13,15.510000,135453600
172,2017-02-20,15.850000,54077300
173,2017-02-27,15.590000,70280600
174,2017-03-06,14.940000,65506200
175,2017-03-13,14.850000,65811500
176,2017-03-20,14.320000,79832300
177,2017-03-27,14.700000,53230000
178,2017-04-03,14.250000,60738800
179,2017-04-10,14.200000,41085200
180,2017-04-17,14.120000,57718600
181,2017-04-24,14.560000,180318300
182,2017-05-01,16.969999,181515800
183,2017-05-08,18.160000,75986300
184,2017-05-15,17.969999,124502900
185,2017-05-22,17.830000,63713700
186,2017-05-29,18.080000,58169600
187,2017-06-05,16.450001,81111200
188,2017-06-12,16.270000,68233600
189,2017-06-19,16.750000,89134200
190,2017-06-26,17.230000,81789900
191,2017-07-03,17.410000,49951400
192,2017-07-10,17.770000,95078600
193,2017-07-17,19.410000,93272700
194,2017-07-24,16.500000,167990700
195,2017-07-31,15.910000,101029400
196,2017-08-07,15.670000,49386000
197,2017-08-14,15.770000,48785600
198,2017-08-21,15.930000,60196300
199,2017-08-28,16.580000,42223200
200,2017-09-04,16.440001,49107400
201,2017-09-11,17.270000,69461600
202,2017-09-18,17.350000,42029700
203,2017-09-25,16.570000,51678000
204,2017-10-02,16.780001,76526400
205,2017-10-09,17.389999,75525000
206,2017-10-16,17.650000,46255700
207,2017-10-23,17.030001,222223300
208,2017-10-30,19.520000,127632100
209,2017-11-06,19.260000,100693200
210,2017-11-13,19.730000,60730900
211,2017-11-20,20.700001,63905500
212,2017-11-27,20.120001,88295000
213,2017-12-04,20.230000,63035500
214,2017-12-11,21.100000,100856700
215,2017-12-18,23.129999,151405000
216,2017-12-25,23.910000,39409600
217,2018-01-01,23.690001,60736500
218,2018-01-08,23.760000,89555600
219,2018-01-15,23.500000,88015600
220,2018-01-22,22.040001,146703900
221,2018-01-29,24.100000,225654300
222,2018-02-05,24.100000,339089800
223,2018-02-12,30.639999,193640700
224,2018-02-19,31.629999,98823500
225,2018-02-26,31.260000,106441800
226,2018-03-05,32.580002,135101900
227,2018-03-12,33.900002,119564200
228,2018-03-19,30.610001,203244500
229,2018-03-26,27.389999,190643800
230,2018-04-02,26.600000,112152100
231,2018-04-09,28.000000,97968100
232,2018-04-16,28.360001,140801100
233,2018-04-23,28.139999,244971000
234,2018-04-30,28.430000,135769800
235,2018-05-07,30.879999,94031300
236,2018-05-14,32.209999,66095600
237,2018-05-21,32.599998,74690600
238,2018-05-28,33.349998,80691200
239,2018-06-04,35.950001,322673000
240,2018-06-11,40.660000,213368200
241,2018-06-18,43.570000,157337000
242,2018-06-25,42.490002,120753000
243,2018-07-02,42.750000,70853800
244,2018-07-09,42.080002,224655100
245,2018-07-16,42.740002,83476400
246,2018-07-23,33.900002,215597300
247,2018-07-30,31.070000,228881300
248,2018-08-06,31.450001,108423400
249,2018-08-13,31.950001,132859100
250,2018-08-20,32.200001,105648000
251,2018-08-27,34.480000,106576200
252,2018-09-03,29.820000,117126500
253,2018-09-10,29.250000,95648300
254,2018-09-17,28.430000,120973200
255,2018-09-24,27.930000,86671500
256,2018-10-01,27.870001,107728500
257,2018-10-08,26.190001,145455900
258,2018-10-15,27.590000,102334800
259,2018-10-22,27.309999,213131200
260,2018-10-29,31.299999,169134600
261,2018-11-05,33.369999,81705800
262,2018-11-12,31.469999,89531400
263,2018-11-19,29.940001,58953400
264,2018-11-26,29.870001,123235600
265,2018-12-03,31.110001,101919000
266,2018-12-10,32.259998,125058300
267,2018-12-17,27.040001,158247400
268,2018-12-24,26.260000,107546100
269,2018-12-31,27.870001,73493000
270,2019-01-07,29.770000,101624200
271,2019-01-14,32.119999,62037900
272,2019-01-21,30.719999,73849300
273,2019-01-28,31.420000,97771000
274,2019-02-04,29.420000,176346200
275,2019-02-11,29.660000,111749400
276,2019-02-18,30.600000,60621100
277,2019-02-25,29.900000,84823100
278,2019-03-04,29.410000,67676700
279,2019-03-11,30.240000,68152100
280,2019-03-18,30.840000,92485400
281,2019-03-25,31.730000,77434600
282,2019-04-01,32.700001,66341100
283,2019-04-08,34.110001,59890000
284,2019-04-15,34.200001,38473800
285,2019-04-22,33.820000,195549000
286,2019-04-29,38.630001,86550800
287,2019-05-06,37.820000,65238600
288,2019-05-13,36.369999,58672600
289,2019-05-20,36.799999,67081400
290,2019-05-27,36.299999,40009800
291,2019-06-03,34.040001,74635600
292,2019-06-10,35.759998,55831000
293,2019-06-17,34.990002,65190900
294,2019-06-24,34.279999,57319200
295,2019-07-01,35.220001,34245200
296,2019-07-08,35.869999,50706100
297,2019-07-15,36.730000,53606900
298,2019-07-22,36.820000,110418600
299,2019-07-29,40.820000,110087300
300,2019-08-05,39.619999,79690700
301,2019-08-12,39.779999,51382300
302,2019-08-19,40.810001,55950800
303,2019-08-26,41.000000,52367500
304,2019-09-02,41.639999,60155800
305,2019-09-09,42.330002,52760000
306,2019-09-16,42.189999,49432900
