,date,price,volume
0,01-31-17,44.07,5153697
1,01-30-17,43.93,6906121
2,01-27-17,44.42,4943138
3,01-26-17,44.55,9974513
4,01-25-17,44.94,14386617
5,01-24-17,43.9,24933016
6,01-23-17,42.4,13638800
7,01-20-17,42.05,5511713
8,01-19-17,42.09,6005615
9,01-18-17,42.03,3594623
10,01-17-17,41.99,4779009
11,01-13-17,42.27,0
12,01-12-17,42.11,6023700
13,01-11-17,42.59,6946237
14,01-10-17,42.3,8111039
15,01-09-17,41.34,7796645
16,01-06-17,41.23,6087644
17,01-05-17,41.34,13120800
18,01-04-17,40.06,11743590
19,01-03-17,38.9,6083699
20,12-30-16,38.67,0
21,12-29-16,38.64,4170497
22,12-28-16,38.73,4428068
23,12-27-16,38.92,4240285
24,12-23-16,38.66,0
25,12-22-16,38.5,11685650
26,12-21-16,39.15,8294490
27,12-20-16,39.16,25008327
28,12-19-16,38.42,13615281
29,12-16-16,38.61,21694081
30,12-15-16,38.41,43663465
31,12-14-16,40.91,19546622
32,12-13-16,41.47,6501889
33,12-12-16,41.3,4451709
34,12-09-16,41.76,6836112
35,12-08-16,41.41,9170007
36,12-07-16,40.52,7208142
37,12-06-16,39.97,6987846
38,12-05-16,40.2,4408407
39,12-02-16,40.07,8588544
40,12-01-16,39.63,12623999
41,11-30-16,41.02,7644360
42,11-29-16,41.6,13085981
43,11-28-16,41.45,6831807
44,11-25-16,40.87,2586908
45,11-23-16,40.96,0
46,11-22-16,41.01,8881541
47,11-21-16,41.11,11355856
48,11-18-16,41.19,8138928
49,11-17-16,41.45,8691513
50,11-16-16,40.98,15609353
51,11-15-16,40.21,13364518
52,11-14-16,39.3,12688849
53,11-11-16,40.42,15178907
54,11-10-16,40.16,16441868
55,11-09-16,41.21,23999185
56,11-08-16,41.16,4228138
57,11-07-16,41.05,5430619
58,11-04-16,40.28,4579437
59,11-03-16,40.23,8112820
60,11-02-16,40.68,13019856
61,11-01-16,41.33,11751321
62,10-31-16,41.55,3749658
63,10-28-16,41.78,6197469
64,10-27-16,41.87,7240848
65,10-26-16,42.08,6123006
66,10-25-16,42.55,5338875
67,10-24-16,42.59,4346851
68,10-21-16,42.17,7194168
69,10-20-16,42.38,11671022
70,10-19-16,42.73,14532119
71,10-18-16,41.68,19355922
72,10-17-16,41.79,8620269
73,10-14-16,41.44,7781258
74,10-13-16,41.62,15689711
75,10-12-16,42.36,7290843
76,10-11-16,42.68,9513063
77,10-10-16,43.92,6573231
78,10-07-16,43.22,8502112
79,10-06-16,43.68,6286843
80,10-05-16,43.71,6118387
81,10-04-16,43.18,8995934
82,10-03-16,43.13,7965746
83,09-30-16,43.1,10367205
84,09-29-16,42.57,13533440
85,09-28-16,43.69,7409129
86,09-27-16,43.37,8764985
87,09-26-16,42.29,12743719
88,09-23-16,42.8,31888521
89,09-22-16,44.15,33325416
90,09-21-16,44.14,12313580
91,09-20-16,42.79,9788923
92,09-19-16,43.19,7886575
93,09-16-16,43.67,19093930
94,09-15-16,43.99,12535634
95,09-14-16,43.46,11624988
96,09-13-16,43.04,10131946
97,09-12-16,43.46,10808806
98,09-09-16,42.92,12060737
99,09-08-16,44.36,7882609
100,09-07-16,44.35,9109446
101,09-06-16,44.71,18125476
102,09-02-16,43.28,7334900
103,09-01-16,42.93,5575305
104,08-31-16,42.75,7715941
105,08-30-16,42.58,5802990
106,08-29-16,42.26,4554700
107,08-26-16,42.27,6327991
108,08-25-16,42.03,5360912
109,08-24-16,41.91,6930295
110,08-23-16,42.6,8962026
111,08-22-16,42.52,6229402
112,08-19-16,43.02,9460753
113,08-18-16,42.9,11294419
114,08-17-16,42.7,8571927
115,08-16-16,42.49,13793594
116,08-15-16,42.67,14440552
117,08-12-16,42.94,25182851
118,08-11-16,41.27,23937964
119,08-10-16,39.93,12970306
120,08-09-16,39.24,5971530
121,08-08-16,39.24,10130979
122,08-05-16,38.99,9127094
123,08-04-16,38.92,11000754
124,08-03-16,38.39,5889951
125,08-02-16,38.57,7504721
126,08-01-16,38.8,9605006
127,07-29-16,38.19,13199145
128,07-28-16,38.52,7423904
129,07-27-16,38.66,12146293
130,07-26-16,38.76,15976247
131,07-25-16,38.32,41811478
132,07-22-16,39.38,11325660
133,07-21-16,38.85,7671199
134,07-20-16,38.9,8176433
135,07-19-16,38.17,10386918
136,07-18-16,37.95,16045047
137,07-15-16,37.72,13513375
138,07-14-16,37.96,10711448
139,07-13-16,37.64,9566060
140,07-12-16,37.89,15217047
141,07-11-16,37.96,20342224
142,07-08-16,37.74,8786614
143,07-07-16,37.52,9031106
144,07-05-16,37.5,8746735
145,07-01-16,37.99,10602800
146,06-30-16,37.56,15207678
147,06-29-16,36.86,10807462
148,06-28-16,36.04,10989213
149,06-27-16,35.22,14156806
150,06-24-16,36.24,19657828
151,06-23-16,37.78,7704842
152,06-22-16,37.36,6279215
153,06-21-16,37.4,5574603
154,06-20-16,37.29,8956213
155,06-17-16,36.94,12593900
156,06-16-16,37.39,10632975
157,06-15-16,37.32,10211770
158,06-14-16,37.4,13017627
159,06-13-16,36.47,6518621
160,06-10-16,36.83,11216470
161,06-09-16,37.35,14757237
162,06-08-16,36.97,9180696
163,06-07-16,36.73,14755859
164,06-06-16,37.07,8426142
165,06-03-16,36.6,12059105
166,06-02-16,37.15,12179089
167,06-01-16,36.65,22168837
168,05-31-16,37.94,12857830
169,05-27-16,37.82,14642500
170,05-26-16,36.76,16285122
171,05-25-16,35.59,33998081
172,05-24-16,37.53,10621791
173,05-23-16,36.66,7785790
174,05-20-16,36.5,34330703
175,05-19-16,37.02,7127240
176,05-18-16,37.24,8496628
177,05-17-16,37.27,11340278
178,05-16-16,37.48,16993935
179,05-13-16,36.48,11073185
180,05-12-16,37.03,11170798
181,05-11-16,37.37,10009034
182,05-10-16,37.44,7178155
183,05-09-16,37.18,6155361
184,05-06-16,37.23,9218249
185,05-05-16,36.94,13717106
186,05-04-16,36.0,9664580
187,05-03-16,36.01,9087844
188,05-02-16,36.53,6585549
189,04-29-16,36.6,12006811
190,04-28-16,36.59,13174703
191,04-27-16,36.95,16401747
192,04-26-16,37.11,10082263
193,04-25-16,37.23,9828840
194,04-22-16,37.48,9106691
195,04-21-16,37.67,11654675
196,04-20-16,37.84,30761748
197,04-19-16,36.33,20443488
198,04-18-16,36.52,17735011
199,04-15-16,36.51,19046880
200,04-14-16,37.17,16613620
201,04-13-16,37.31,17165975
202,04-12-16,36.66,10447604
