Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
,01/31/17,43.78,44.15,43.67,44.07,5153697,0.14,0.32%
,01/30/17,44.22,44.22,43.71,43.93,6906121,-0.49,-1.10%
,01/27/17,44.54,44.71,44.23,44.42,4943138,-0.13,-0.29%
,01/26/17,44.83,45.08,44.40,44.55,9974513,-0.39,-0.87%
,01/25/17,44.11,45.00,44.09,44.94,14386617,1.04,2.37%
,01/24/17,43.65,44.22,43.45,43.90,24933016,1.50,3.54%
,01/23/17,41.95,42.45,41.84,42.40,13638800,0.35,0.83%
,01/20/17,42.33,42.53,41.87,42.05,5511713,-0.04,-0.10%
,01/19/17,42.05,42.19,41.90,42.09,6005615,0.06,0.14%
,01/18/17,42.15,42.15,41.80,42.03,3594623,0.04,0.10%
,01/17/17,42.06,42.18,41.84,41.99,4779009,-0.28,-0.66%
,01/13/17,,42.27,42.27,42.27,0,0.16,0.38%
,01/12/17,42.34,42.46,41.70,42.11,6023700,-0.48,-1.13%
,01/11/17,42.27,42.59,42.07,42.59,6946237,0.29,0.69%
,01/10/17,41.89,42.37,41.54,42.30,8111039,0.96,2.32%
,01/09/17,41.17,41.66,41.12,41.34,7796645,0.11,0.27%
,01/06/17,41.25,41.34,40.85,41.23,6087644,-0.11,-0.27%
,01/05/17,40.31,41.37,40.24,41.34,13120800,1.28,3.20%
,01/04/17,39.00,40.25,38.92,40.06,11743590,1.16,2.98%
,01/03/17,39.11,39.18,38.64,38.90,6083699,0.23,0.59%
,12/30/16,,38.67,38.67,38.67,0,0.03,0.08%
,12/29/16,38.76,38.93,38.48,38.64,4170497,-0.09,-0.23%
,12/28/16,39.12,39.22,38.71,38.73,4428068,-0.19,-0.49%
,12/27/16,38.59,39.06,38.50,38.92,4240285,0.26,0.67%
,12/23/16,,38.66,38.66,38.66,0,0.16,0.42%
,12/22/16,38.69,38.79,38.26,38.50,11685650,-0.65,-1.66%
,12/21/16,39.08,39.32,38.97,39.15,8294490,-0.01,-0.03%
,12/20/16,38.40,39.18,38.24,39.16,25008327,0.74,1.93%
,12/19/16,38.66,38.79,38.27,38.42,13615281,-0.19,-0.49%
,12/16/16,38.62,39.22,38.42,38.61,21694081,0.20,0.52%
,12/15/16,40.00,40.00,38.25,38.41,43663465,-2.50,-6.11%
,12/14/16,41.44,41.53,40.83,40.91,19546622,-0.56,-1.35%
,12/13/16,41.35,41.79,41.14,41.47,6501889,0.17,0.41%
,12/12/16,41.45,41.53,41.12,41.30,4451709,-0.46,-1.10%
,12/09/16,41.52,41.80,41.44,41.76,6836112,0.35,0.85%
,12/08/16,40.66,41.60,40.42,41.41,9170007,0.89,2.20%
,12/07/16,39.98,40.57,39.75,40.52,7208142,0.55,1.38%
,12/06/16,40.31,40.42,39.88,39.97,6987846,-0.23,-0.57%
,12/05/16,40.02,40.39,39.85,40.20,4408407,0.13,0.32%
,12/02/16,39.77,40.32,39.58,40.07,8588544,0.44,1.11%
,12/01/16,41.00,41.04,39.53,39.63,12623999,-1.39,-3.39%
,11/30/16,41.62,41.67,40.88,41.02,7644360,-0.58,-1.39%
,11/29/16,41.43,41.83,41.12,41.60,13085981,0.15,0.36%
,11/28/16,40.85,41.70,40.74,41.45,6831807,0.58,1.42%
,11/25/16,41.08,41.08,40.71,40.87,2586908,-0.09,-0.22%
,11/23/16,,40.96,40.96,40.96,0,-0.05,-0.12%
,11/22/16,41.20,41.40,40.83,41.01,8881541,-0.10,-0.24%
,11/21/16,41.44,41.48,40.94,41.11,11355856,-0.08,-0.19%
,11/18/16,41.48,41.65,40.90,41.19,8138928,-0.26,-0.63%
,11/17/16,41.34,41.65,41.20,41.45,8691513,0.47,1.15%
,11/16/16,40.10,41.05,40.10,40.98,15609353,0.77,1.91%
,11/15/16,39.61,40.45,39.58,40.21,13364518,0.91,2.32%
,11/14/16,40.36,40.39,38.87,39.30,12688849,-1.12,-2.77%
,11/11/16,39.84,40.52,39.37,40.42,15178907,0.26,0.65%
,11/10/16,41.55,41.62,39.84,40.16,16441868,-1.05,-2.55%
,11/09/16,40.44,41.39,40.22,41.21,23999185,0.05,0.12%
,11/08/16,40.97,41.28,40.68,41.16,4228138,0.11,0.27%
,11/07/16,41.17,41.23,40.86,41.05,5430619,0.77,1.91%
,11/04/16,39.96,40.67,39.80,40.28,4579437,0.05,0.12%
,11/03/16,40.62,40.75,40.17,40.23,8112820,-0.45,-1.11%
,11/02/16,41.80,42.16,40.36,40.68,13019856,-0.65,-1.57%
,11/01/16,41.13,41.34,40.69,41.33,11751321,-0.22,-0.53%
,10/31/16,42.03,42.16,41.55,41.55,3749658,-0.23,-0.55%
,10/28/16,42.03,42.22,41.71,41.78,6197469,-0.09,-0.21%
,10/27/16,42.31,42.49,41.81,41.87,7240848,-0.21,-0.50%
,10/26/16,42.26,42.44,41.95,42.08,6123006,-0.47,-1.10%
